title,content,date,source,url,keyword
The changing face of HDFC life & the Insurance industry,,2020-10-16T14:23:11+00:00,Finshots,https://finshots.in/markets/the-changing-face-of-hdfc-life-the-insurance-industry/,HDFC
What to make of HDFC Life’s recent performance?,,2021-07-23T14:27:42+00:00,Finshots,https://finshots.in/markets/what-to-make-of-hdfc-lifes-performance/,HDFC
What ails HDFC Bank?,,2022-01-07T14:46:07+00:00,Finshots,https://finshots.in/markets/what-ails-hdfc-bank/,HDFC
Weekly Wrapup - Understanding the HDFC Merger,,2022-04-08T16:51:54.934000+00:00,Finshots,https://finshots.in/archive/weekly-wrapup-understanding-the-hdfc-merger/,HDFC
The HDFC merger - Can the $60 billion elephant dance?,,2022-04-08T14:39:16+00:00,Finshots,https://finshots.in/markets/hdfc-merger-can-the-60-billion-elephant-dance/,HDFC
Reviewing Tata Motors,,2021-07-30T14:29:14+00:00,Finshots,https://finshots.in/markets/reviewing-tata-motors/,Tata Motors
What went wrong at Tata Motors?,,2020-09-04T15:33:27+00:00,Finshots,https://finshots.in/markets/what-went-wrong-at-tata-motors/,Tata Motors
Tata Motors is killing its DVR shares!,,2023-07-27T01:30:00+00:00,Finshots,https://finshots.in/archive/tata-motors-is-killing-its-dvr-shares/,Tata Motors
Tata Steel’s purple patch,,2021-08-27T13:37:34+00:00,Finshots,https://finshots.in/markets/tata-steels-purple-patch/,Tata Motors
"Tata, Hakuna Matata and Shitcoins",,2021-11-17T01:30:00+00:00,Finshots,https://finshots.in/archive/tata-hakuna-matata-and-shitcoins/,Tata Motors
